ID,Suhu,Humid,Hujan,NDVI,Luas Konversi,Kecamatan,Label
D001,25.1,88,579,0.76,135,Ulu Rawas,Rendah
D002,29.3,83,231,0.56,395,Karang Dapo,Sedang
D003,24.9,90,477,0.72,152,Ulu Rawas,Rendah
D004,24.8,89,708,0.79,117,Ulu Rawas,Rendah
D005,31.9,90,216,0.39,1843,Rawas Ilir,Tinggi
D006,31.4,89,120,0.35,1565,Nibung,Sedang
D007,25.0,91,867,0.69,177,Karang Jaya,Rendah
D008,31.8,84,90,0.37,1846,Rawas Ilir,Tinggi
D009,31.4,68,54,0.51,618,Rawas Ulu,Sedang
D010,28.3,87,114,0.59,618,Rawas Ulu,Sedang
D011,30.7,89,372,0.3,1585,Nibung,Sedang
D012,31.3,88,234,0.3,1887,Rawas Ilir,Sedang
D013,27.8,88,318,0.47,483,Karang Dapo,Rendah
D014,31.1,88,240,0.37,1858,Rawas Ilir,Sedang
D015,28.2,87,522,0.51,621,Rawas Ulu,Sedang
D016,31.3,88,228,0.41,1409,Nibung,Sedang
D017,26.1,87,627,0.68,179,Karang Jaya,Rendah
D018,30.6,86,183,0.3,1919,Rawas Ilir,Sedang
D019,28.8,89,561,0.6,523,Rupit,Sedang
D020,27.5,87,153,0.5,634,Rawas Ulu,Rendah
D021,28.9,71,129,0.79,200,Karang Jaya,Sedang
D022,23.1,87,330,0.8,64,Ulu Rawas,Rendah
D023,30.6,91,621,0.32,1511,Nibung,Sedang
D024,24.8,83,120,0.81,172,Ulu Rawas,Rendah
D025,30.6,69,15,0.62,542,Rupit,Sedang
D026,28.6,89,78,0.53,627,Rawas Ulu,Sedang
D027,29.4,87,225,0.55,399,Karang Dapo,Sedang
D028,32.1,81,9,0.34,1869,Rawas Ilir,Tinggi
D029,30.6,87,183,0.38,1573,Nibung,Sedang
D030,25.8,93,609,0.72,247,Karang Jaya,Rendah
D031,30.6,88,366,0.32,1835,Rawas Ilir,Sedang
D032,30.2,80,171,0.62,472,Rupit,Sedang
D033,25.8,89,303,0.7,74,Karang Jaya,Rendah
D034,30.1,83,36,0.57,532,Karang Dapo,Sedang
D035,24.0,90,321,0.81,24,Ulu Rawas,Rendah
D036,30.7,86,117,0.38,1913,Rawas Ilir,Sedang
D037,28.1,89,771,0.47,531,Karang Dapo,Sedang
D038,27.2,90,306,0.75,63,Karang Jaya,Rendah
D039,29.6,81,135,0.52,640,Rawas Ulu,Sedang
D040,28.2,89,786,0.56,692,Rawas Ulu,Sedang
D041,29.1,74,0,0.54,440,Karang Dapo,Sedang
D042,27.8,88,99,0.63,457,Rupit,Rendah
D043,28.5,89,567,0.54,497,Karang Dapo,Sedang
D044,29.2,90,1077,0.62,476,Rupit,Sedang
D045,30.5,78,0,0.59,558,Rupit,Sedang
D046,29.0,86,138,0.48,490,Karang Dapo,Sedang
D047,30.6,87,111,0.32,1889,Rawas Ilir,Sedang
D048,25.6,85,129,0.76,80,Ulu Rawas,Rendah
D049,31.0,86,201,0.29,1774,Rawas Ilir,Sedang
D050,28.8,85,99,0.52,583,Rawas Ulu,Sedang
D051,30.2,89,186,0.34,1840,Rawas Ilir,Sedang
D052,27.8,90,504,0.55,494,Rupit,Rendah
D053,28.5,79,30,0.56,476,Rupit,Sedang
D054,29.1,86,534,0.54,714,Rawas Ulu,Sedang
D055,26.8,89,279,0.68,219,Karang Jaya,Rendah
D056,25.6,90,345,0.75,188,Karang Jaya,Rendah
D057,25.1,76,0,0.81,125,Ulu Rawas,Rendah
D058,28.4,87,669,0.56,491,Karang Dapo,Sedang
D059,28.7,84,165,0.48,453,Karang Dapo,Sedang
D060,27.4,87,681,0.56,500,Karang Dapo,Rendah
D061,33.1,60,3,0.58,559,Rupit,Tinggi
D062,29.6,84,351,0.61,521,Rupit,Sedang
D063,31.3,82,63,0.36,1514,Nibung,Sedang
D064,29.0,88,576,0.51,650,Rawas Ulu,Sedang
D065,31.5,88,657,0.33,1828,Rawas Ilir,Sedang
D066,27.1,85,36,0.74,235,Karang Jaya,Rendah
D067,29.1,87,120,0.55,487,Karang Dapo,Sedang
D068,24.9,85,252,0.73,58,Ulu Rawas,Rendah
D069,28.2,82,105,0.69,215,Karang Jaya,Sedang
D070,26.6,90,576,0.7,158,Karang Jaya,Rendah
D071,28.6,85,111,0.64,492,Rupit,Sedang
D072,25.1,88,324,0.76,98,Karang Jaya,Rendah
D073,26.5,89,591,0.75,132,Karang Jaya,Rendah
D074,24.2,91,1035,0.73,46,Ulu Rawas,Rendah
D075,26.3,89,159,0.73,114,Karang Jaya,Rendah
D076,29.6,87,378,0.56,490,Karang Dapo,Sedang
D077,30.0,92,288,0.35,1873,Rawas Ilir,Sedang
D078,28.2,86,204,0.69,209,Karang Jaya,Sedang
D079,28.8,90,549,0.64,459,Rupit,Sedang
D080,28.5,89,216,0.53,514,Rupit,Sedang
D081,22.6,85,66,0.81,56,Ulu Rawas,Rendah
D082,25.8,90,378,0.72,232,Karang Jaya,Rendah
D083,30.8,90,258,0.33,1862,Rawas Ilir,Sedang
D084,30.3,88,138,0.37,1853,Rawas Ilir,Sedang
D085,26.4,90,1437,0.73,185,Karang Jaya,Rendah
D086,28.7,90,642,0.56,555,Rawas Ulu,Sedang
D087,28.8,89,309,0.58,497,Rupit,Sedang
D088,29.5,90,462,0.5,490,Karang Dapo,Sedang
D089,28.8,87,57,0.54,618,Rawas Ulu,Sedang
D090,31.0,92,447,0.3,1871,Rawas Ilir,Sedang
D091,28.5,88,207,0.58,573,Rupit,Sedang
D092,28.5,85,255,0.49,454,Karang Dapo,Sedang
D093,26.2,85,171,0.72,158,Karang Jaya,Rendah
D094,30.4,90,141,0.39,1846,Rawas Ilir,Sedang
D095,24.4,87,318,0.74,11,Ulu Rawas,Rendah
D096,30.0,88,741,0.33,1920,Rawas Ilir,Sedang
D097,28.0,89,747,0.6,590,Rupit,Rendah
D098,32.8,72,18,0.31,1550,Nibung,Tinggi
D099,27.8,87,198,0.54,501,Rupit,Rendah
D100,30.0,81,105,0.52,467,Rupit,Sedang
D101,31.0,88,138,0.33,1805,Rawas Ilir,Sedang
D102,28.2,88,342,0.49,596,Rawas Ulu,Sedang
D103,29.0,85,417,0.52,492,Rawas Ulu,Sedang
D104,30.0,89,444,0.38,1836,Rawas Ilir,Sedang
D105,28.8,76,0,0.48,573,Rawas Ulu,Sedang
D106,29.1,86,84,0.58,577,Rawas Ulu,Sedang
D107,25.6,86,72,0.78,96,Karang Jaya,Rendah
D108,27.2,86,525,0.59,495,Rupit,Rendah
D109,31.5,72,3,0.35,1857,Rawas Ilir,Sedang
D110,29.3,90,162,0.52,535,Rupit,Sedang
D111,27.9,86,153,0.57,541,Rupit,Rendah
D112,25.7,68,6,0.78,70,Ulu Rawas,Rendah
D113,27.2,83,225,0.56,684,Rawas Ulu,Rendah
D114,31.0,72,9,0.59,649,Rupit,Sedang
D115,29.7,84,360,0.5,676,Rawas Ulu,Sedang
D116,25.7,89,405,0.79,139,Karang Jaya,Rendah
D117,26.6,89,348,0.73,118,Karang Jaya,Rendah
D118,26.6,90,207,0.8,295,Karang Jaya,Rendah
D119,28.0,88,693,0.62,543,Rupit,Rendah
D120,31.6,73,0,0.29,1835,Rawas Ilir,Tinggi
D121,30.6,68,27,0.48,430,Karang Dapo,Sedang
