ID,Date,Suhu,Humid,Hujan,NDVI,Luas Konversi,Kecamatan,Label
D00001,2015-01-01,28.0,86,105,0.59,543,Rupit,Sedang
D00002,2015-01-02,26.8,82,36,0.6,523,Rupit,Rendah
D00003,2015-01-03,25.9,80,54,0.62,546,Rupit,Rendah
D00004,2015-01-04,28.9,87,177,0.55,536,Rupit,Sedang
D00005,2015-01-05,29.7,85,15,0.53,533,Rupit,Sedang
D00006,2015-01-06,30.3,82,39,0.55,561,Rupit,Sedang
D00007,2015-01-07,28.0,81,84,0.61,574,Rupit,Rendah
D00008,2015-01-08,28.1,88,222,0.56,522,Rupit,Sedang
D00009,2015-01-09,25.5,87,111,0.63,514,Rupit,Rendah
D00010,2015-01-10,27.0,84,36,0.61,531,Rupit,Rendah
D00011,2015-01-11,28.0,82,171,0.61,516,Rupit,Sedang
D00012,2015-01-12,29.8,83,33,0.57,484,Rupit,Sedang
D00013,2015-01-13,27.4,80,57,0.61,477,Rupit,Rendah
D00014,2015-01-14,25.8,85,321,0.6,480,Rupit,Rendah
D00015,2015-01-15,28.7,85,198,0.55,518,Rupit,Sedang
D00016,2015-01-16,28.9,83,156,0.54,531,Rupit,Sedang
D00017,2015-01-17,29.0,78,24,0.59,501,Rupit,Sedang
D00018,2015-01-18,30.1,78,36,0.56,541,Rupit,Sedang
D00019,2015-01-19,29.4,83,135,0.59,506,Rupit,Sedang
D00020,2015-01-20,27.5,90,393,0.55,509,Rupit,Rendah
D00021,2015-01-21,26.0,86,72,0.63,496,Rupit,Rendah
D00022,2015-01-22,25.5,90,201,0.61,491,Rupit,Rendah
D00023,2015-01-23,27.4,85,141,0.55,545,Rupit,Rendah
D00024,2015-01-24,29.1,87,531,0.55,525,Rupit,Sedang
D00025,2015-01-25,25.1,90,480,0.62,503,Rupit,Rendah
D00026,2015-01-26,25.9,87,204,0.62,560,Rupit,Rendah
D00027,2015-01-27,27.4,88,282,0.56,520,Rupit,Rendah
D00028,2015-01-28,29.9,81,93,0.59,558,Rupit,Sedang
D00029,2015-01-29,29.0,85,174,0.57,539,Rupit,Sedang
D00030,2015-01-30,28.1,88,291,0.54,622,Rupit,Sedang
D00031,2015-01-31,28.1,87,537,0.54,483,Rupit,Sedang
D00032,2015-02-01,28.7,79,84,0.54,482,Rupit,Sedang
D00033,2015-02-02,27.2,76,0,0.63,442,Rupit,Rendah
D00034,2015-02-03,29.0,78,3,0.53,506,Rupit,Sedang
D00035,2015-02-04,29.3,78,12,0.6,497,Rupit,Sedang
D00036,2015-02-05,28.0,86,561,0.54,515,Rupit,Rendah
D00037,2015-02-06,27.4,86,60,0.58,578,Rupit,Rendah
D00038,2015-02-07,27.6,86,234,0.58,503,Rupit,Rendah
D00039,2015-02-08,26.1,87,324,0.62,537,Rupit,Rendah
D00040,2015-02-09,27.4,88,423,0.59,502,Rupit,Rendah
D00041,2015-02-10,26.2,82,54,0.61,470,Rupit,Rendah
D00042,2015-02-11,29.0,77,18,0.53,508,Rupit,Sedang
D00043,2015-02-12,29.4,83,249,0.53,575,Rupit,Sedang
D00044,2015-02-13,27.7,86,147,0.56,494,Rupit,Rendah
D00045,2015-02-14,26.9,82,66,0.62,531,Rupit,Rendah
D00046,2015-02-15,29.8,87,78,0.54,516,Rupit,Sedang
D00047,2015-02-16,26.8,85,333,0.61,543,Rupit,Rendah
D00048,2015-02-17,30.0,83,96,0.56,544,Rupit,Sedang
D00049,2015-02-18,28.0,92,855,0.57,528,Rupit,Rendah
D00050,2015-02-19,27.5,85,69,0.55,556,Rupit,Rendah
D00051,2015-02-20,26.1,79,0,0.63,502,Rupit,Rendah
D00052,2015-02-21,29.1,82,72,0.54,494,Rupit,Sedang
D00053,2015-02-22,28.9,85,123,0.56,502,Rupit,Sedang
D00054,2015-02-23,28.6,89,828,0.54,509,Rupit,Sedang
D00055,2015-02-24,28.1,87,381,0.55,569,Rupit,Sedang
D00056,2015-02-25,30.4,85,33,0.55,487,Rupit,Sedang
D00057,2015-02-26,29.2,87,180,0.55,567,Rupit,Sedang
D00058,2015-02-27,29.7,87,231,0.58,571,Rupit,Sedang
D00059,2015-02-28,26.4,85,264,0.61,524,Rupit,Rendah
D00060,2015-03-01,29.1,84,528,0.57,532,Rupit,Sedang
D00061,2015-03-02,24.9,89,342,0.6,480,Rupit,Rendah
D00062,2015-03-03,29.1,84,177,0.57,444,Rupit,Sedang
D00063,2015-03-04,27.2,81,75,0.62,520,Rupit,Rendah
D00064,2015-03-05,29.3,84,315,0.57,539,Rupit,Sedang
D00065,2015-03-06,30.1,84,210,0.55,548,Rupit,Sedang
D00066,2015-03-07,28.5,85,333,0.59,505,Rupit,Sedang
D00067,2015-03-08,27.4,87,276,0.63,560,Rupit,Rendah
D00068,2015-03-09,25.7,89,297,0.61,453,Rupit,Rendah
D00069,2015-03-10,27.8,88,417,0.58,526,Rupit,Rendah
D00070,2015-03-11,29.5,89,1074,0.57,549,Rupit,Sedang
D00071,2015-03-12,28.3,86,405,0.56,527,Rupit,Sedang
D00072,2015-03-13,27.6,86,282,0.63,488,Rupit,Rendah
D00073,2015-03-14,28.2,88,777,0.59,517,Rupit,Sedang
D00074,2015-03-15,25.1,93,552,0.63,503,Rupit,Rendah
D00075,2015-03-16,29.7,81,21,0.58,520,Rupit,Sedang
D00076,2015-03-17,30.6,86,111,0.58,510,Rupit,Sedang
D00077,2015-03-18,28.6,87,342,0.55,531,Rupit,Sedang
D00078,2015-03-19,29.8,88,399,0.59,518,Rupit,Sedang
D00079,2015-03-20,28.8,87,435,0.55,566,Rupit,Sedang
D00080,2015-03-21,29.7,85,33,0.59,563,Rupit,Sedang
D00081,2015-03-22,30.2,86,318,0.57,489,Rupit,Sedang
D00082,2015-03-23,29.4,87,489,0.55,502,Rupit,Sedang
D00083,2015-03-24,28.0,88,399,0.55,485,Rupit,Rendah
D00084,2015-03-25,29.1,88,516,0.56,547,Rupit,Sedang
D00085,2015-03-26,29.3,89,315,0.54,416,Rupit,Sedang
D00086,2015-03-27,28.1,89,762,0.54,547,Rupit,Sedang
D00087,2015-03-28,30.2,86,300,0.56,576,Rupit,Sedang
D00088,2015-03-29,28.6,87,210,0.57,495,Rupit,Sedang
D00089,2015-03-30,27.9,87,324,0.61,509,Rupit,Rendah
D00090,2015-03-31,28.4,87,507,0.6,481,Rupit,Sedang
D00091,2015-04-01,28.3,84,129,0.61,507,Rupit,Sedang
D00092,2015-04-02,29.1,87,270,0.54,562,Rupit,Sedang
D00093,2015-04-03,29.4,88,354,0.54,498,Rupit,Sedang
D00094,2015-04-04,26.8,85,552,0.6,513,Rupit,Rendah
D00095,2015-04-05,30.4,84,33,0.59,517,Rupit,Sedang
D00096,2015-04-06,26.5,87,96,0.61,554,Rupit,Rendah
D00097,2015-04-07,29.6,89,549,0.57,520,Rupit,Sedang
D00098,2015-04-08,28.7,87,165,0.59,522,Rupit,Sedang
D00099,2015-04-09,25.4,88,114,0.6,490,Rupit,Rendah
