ID,Date,Suhu,Humid,Hujan,NDVI,Luas Konversi,Kecamatan,Label
D0001,2023-01-01,27.2,87,606,0.6,551,Rupit,Rendah
D0002,2023-01-02,28.2,87,276,0.61,525,Rupit,Sedang
D0003,2023-01-03,27.0,89,237,0.63,555,Rupit,Rendah
D0004,2023-01-04,27.5,89,111,0.55,541,Rupit,Rendah
D0005,2023-01-05,28.4,86,204,0.52,538,Rupit,Sedang
D0006,2023-01-06,28.8,88,297,0.55,574,Rupit,Sedang
D0007,2023-01-07,28.6,89,576,0.62,592,Rupit,Sedang
D0008,2023-01-08,28.0,86,882,0.56,522,Rupit,Sedang
D0009,2023-01-09,27.9,86,54,0.63,511,Rupit,Rendah
D0010,2023-01-10,29.4,86,39,0.62,535,Rupit,Sedang
D0011,2023-01-11,29.3,87,168,0.62,514,Rupit,Sedang
D0012,2023-01-12,28.7,86,492,0.57,471,Rupit,Sedang
D0013,2023-01-13,28.1,91,210,0.62,462,Rupit,Sedang
D0014,2023-01-14,27.7,88,249,0.6,467,Rupit,Rendah
D0015,2023-01-15,27.7,89,279,0.55,517,Rupit,Rendah
D0016,2023-01-16,27.7,88,435,0.53,535,Rupit,Rendah
D0017,2023-01-17,26.5,90,906,0.6,495,Rupit,Rendah
D0018,2023-01-18,28.5,88,678,0.55,548,Rupit,Sedang
D0019,2023-01-19,27.3,92,723,0.6,502,Rupit,Rendah
D0020,2023-01-20,27.8,87,198,0.54,505,Rupit,Rendah
D0021,2023-01-21,28.8,85,117,0.64,488,Rupit,Sedang
D0022,2023-01-22,28.6,87,402,0.62,481,Rupit,Sedang
D0023,2023-01-23,27.1,89,768,0.55,554,Rupit,Rendah
D0024,2023-01-24,28.4,86,165,0.55,526,Rupit,Sedang
D0025,2023-01-25,27.4,83,21,0.63,497,Rupit,Rendah
D0026,2023-01-26,28.1,82,12,0.63,573,Rupit,Sedang
D0027,2023-01-27,27.6,85,165,0.55,521,Rupit,Rendah
D0028,2023-01-28,28.7,87,639,0.59,571,Rupit,Sedang
D0029,2023-01-29,27.4,88,69,0.57,546,Rupit,Rendah
D0030,2023-01-30,27.2,85,207,0.53,656,Rupit,Rendah
D0031,2023-01-31,27.2,87,174,0.53,471,Rupit,Rendah
D0032,2023-02-01,28.0,85,0,0.53,470,Rupit,Rendah
D0033,2023-02-02,29.1,86,189,0.64,416,Rupit,Sedang
D0034,2023-02-03,29.1,86,27,0.52,501,Rupit,Sedang
D0035,2023-02-04,29.2,84,312,0.6,490,Rupit,Sedang
D0036,2023-02-05,28.7,84,129,0.53,513,Rupit,Sedang
D0037,2023-02-06,28.2,84,0,0.57,598,Rupit,Sedang
D0038,2023-02-07,28.0,85,156,0.58,497,Rupit,Rendah
D0039,2023-02-08,29.7,82,3,0.63,543,Rupit,Sedang
D0040,2023-02-09,28.8,81,30,0.59,496,Rupit,Sedang
D0041,2023-02-10,29.6,84,519,0.61,453,Rupit,Sedang
D0042,2023-02-11,28.3,83,159,0.52,503,Rupit,Sedang
D0043,2023-02-12,29.8,81,0,0.52,594,Rupit,Sedang
D0044,2023-02-13,28.5,79,30,0.56,485,Rupit,Sedang
D0045,2023-02-14,28.8,83,510,0.63,535,Rupit,Sedang
D0046,2023-02-15,28.5,89,216,0.53,515,Rupit,Sedang
D0047,2023-02-16,28.1,87,357,0.61,551,Rupit,Sedang
D0048,2023-02-17,29.8,80,243,0.55,552,Rupit,Sedang
D0049,2023-02-18,29.6,83,450,0.57,531,Rupit,Sedang
D0050,2023-02-19,27.7,87,384,0.54,568,Rupit,Rendah
D0051,2023-02-20,27.8,88,405,0.64,495,Rupit,Rendah
D0052,2023-02-21,27.4,88,357,0.53,486,Rupit,Rendah
D0053,2023-02-22,27.1,89,786,0.56,496,Rupit,Rendah
D0054,2023-02-23,28.2,87,255,0.53,505,Rupit,Sedang
D0055,2023-02-24,27.0,87,972,0.55,585,Rupit,Rendah
D0056,2023-02-25,28.8,84,618,0.55,476,Rupit,Sedang
D0057,2023-02-26,28.5,83,150,0.55,583,Rupit,Sedang
D0058,2023-02-27,28.7,83,381,0.58,589,Rupit,Sedang
D0059,2023-02-28,28.1,85,153,0.62,526,Rupit,Sedang
D0060,2023-03-01,27.9,86,153,0.57,536,Rupit,Rendah
D0061,2023-03-02,27.4,82,12,0.61,467,Rupit,Rendah
D0062,2023-03-03,27.4,86,540,0.57,418,Rupit,Rendah
D0063,2023-03-04,27.6,86,378,0.62,520,Rupit,Rendah
D0064,2023-03-05,28.3,81,243,0.57,545,Rupit,Sedang
D0065,2023-03-06,28.3,87,663,0.55,558,Rupit,Sedang
D0066,2023-03-07,27.2,86,525,0.59,500,Rupit,Rendah
D0067,2023-03-08,29.0,86,183,0.64,574,Rupit,Sedang
D0068,2023-03-09,27.1,88,501,0.62,430,Rupit,Rendah
D0069,2023-03-10,26.7,88,807,0.58,529,Rupit,Rendah
D0070,2023-03-11,28.6,89,711,0.57,559,Rupit,Sedang
D0071,2023-03-12,27.4,90,246,0.55,529,Rupit,Rendah
D0072,2023-03-13,28.5,88,903,0.63,477,Rupit,Sedang
D0073,2023-03-14,27.6,84,279,0.59,516,Rupit,Rendah
D0074,2023-03-15,28.6,85,111,0.64,498,Rupit,Sedang
D0075,2023-03-16,28.5,88,207,0.59,520,Rupit,Sedang
D0076,2023-03-17,28.9,88,132,0.58,507,Rupit,Sedang
D0077,2023-03-18,28.2,87,531,0.54,535,Rupit,Sedang
D0078,2023-03-19,28.8,86,189,0.59,517,Rupit,Sedang
D0079,2023-03-20,27.9,88,357,0.55,581,Rupit,Rendah
D0080,2023-03-21,29.2,85,366,0.59,577,Rupit,Sedang
D0081,2023-03-22,29.8,85,513,0.57,478,Rupit,Sedang
D0082,2023-03-23,28.9,90,321,0.54,496,Rupit,Sedang
D0083,2023-03-24,27.9,89,765,0.55,473,Rupit,Rendah
D0084,2023-03-25,29.1,87,576,0.56,556,Rupit,Sedang
D0085,2023-03-26,30.1,86,468,0.53,381,Rupit,Sedang
D0086,2023-03-27,28.1,87,360,0.53,557,Rupit,Sedang
D0087,2023-03-28,29.4,88,447,0.55,595,Rupit,Sedang
D0088,2023-03-29,28.1,88,477,0.56,487,Rupit,Sedang
D0089,2023-03-30,29.2,88,405,0.62,505,Rupit,Sedang
D0090,2023-03-31,28.1,85,132,0.6,468,Rupit,Sedang
D0091,2023-04-01,29.3,88,261,0.62,502,Rupit,Sedang
D0092,2023-04-02,28.0,87,6,0.54,576,Rupit,Sedang
D0093,2023-04-03,28.1,89,420,0.53,490,Rupit,Sedang
D0094,2023-04-04,27.9,88,333,0.61,510,Rupit,Rendah
D0095,2023-04-05,29.0,90,249,0.6,516,Rupit,Sedang
D0096,2023-04-06,27.2,89,159,0.62,566,Rupit,Rendah
D0097,2023-04-07,28.8,89,336,0.57,520,Rupit,Sedang
D0098,2023-04-08,27.7,89,495,0.6,523,Rupit,Rendah
D0099,2023-04-09,27.1,88,648,0.61,480,Rupit,Rendah
D0100,2023-04-10,29.0,89,462,0.53,507,Rupit,Sedang
D0101,2023-04-11,29.3,88,198,0.63,448,Rupit,Sedang
