ID,Suhu,Humid,Hujan,NDVI,Luas Konversi,Kecamatan,Label
D00001,25.1,88,579,0.76,135,Ulu Rawas,Rendah
D00002,29.3,83,231,0.56,395,Karang Dapo,Sedang
D00003,24.9,90,477,0.72,152,Ulu Rawas,Rendah
D00004,24.8,89,708,0.79,117,Ulu Rawas,Rendah
D00005,31.9,90,216,0.39,1843,Rawas Ilir,Tinggi
D00006,31.4,89,120,0.35,1565,Nibung,Sedang
D00007,25.0,91,867,0.69,177,Karang Jaya,Rendah
D00008,31.8,84,90,0.37,1846,Rawas Ilir,Tinggi
D00009,31.4,68,54,0.51,618,Rawas Ulu,Sedang
D00010,28.3,87,114,0.59,618,Rawas Ulu,Sedang
D00011,30.7,89,372,0.3,1585,Nibung,Sedang
D00012,31.3,88,234,0.3,1887,Rawas Ilir,Sedang
D00013,27.8,88,318,0.47,483,Karang Dapo,Rendah
D00014,31.1,88,240,0.37,1858,Rawas Ilir,Sedang
D00015,28.2,87,522,0.51,621,Rawas Ulu,Sedang
D00016,31.3,88,228,0.41,1409,Nibung,Sedang
D00017,26.1,87,627,0.68,179,Karang Jaya,Rendah
D00018,30.6,86,183,0.3,1919,Rawas Ilir,Sedang
D00019,28.8,89,561,0.6,523,Rupit,Sedang
D00020,27.5,87,153,0.5,634,Rawas Ulu,Rendah
D00021,28.9,71,129,0.79,200,Karang Jaya,Sedang
D00022,23.1,87,330,0.8,64,Ulu Rawas,Rendah
D00023,30.6,91,621,0.32,1511,Nibung,Sedang
D00024,24.8,83,120,0.81,172,Ulu Rawas,Rendah
D00025,30.6,69,15,0.62,542,Rupit,Sedang
D00026,28.6,89,78,0.53,627,Rawas Ulu,Sedang
D00027,29.4,87,225,0.55,399,Karang Dapo,Sedang
D00028,32.1,81,9,0.34,1869,Rawas Ilir,Tinggi
D00029,30.6,87,183,0.38,1573,Nibung,Sedang
D00030,25.8,93,609,0.72,247,Karang Jaya,Rendah
D00031,30.6,88,366,0.32,1835,Rawas Ilir,Sedang
D00032,30.2,80,171,0.62,472,Rupit,Sedang
D00033,25.8,89,303,0.7,74,Karang Jaya,Rendah
D00034,30.1,83,36,0.57,532,Karang Dapo,Sedang
D00035,24.0,90,321,0.81,24,Ulu Rawas,Rendah
D00036,30.7,86,117,0.38,1913,Rawas Ilir,Sedang
D00037,28.1,89,771,0.47,531,Karang Dapo,Sedang
D00038,27.2,90,306,0.75,63,Karang Jaya,Rendah
D00039,29.6,81,135,0.52,640,Rawas Ulu,Sedang
D00040,28.2,89,786,0.56,692,Rawas Ulu,Sedang
D00041,29.1,74,0,0.54,440,Karang Dapo,Sedang
D00042,27.8,88,99,0.63,457,Rupit,Rendah
D00043,28.5,89,567,0.54,497,Karang Dapo,Sedang
D00044,29.2,90,1077,0.62,476,Rupit,Sedang
D00045,30.5,78,0,0.59,558,Rupit,Sedang
D00046,29.0,86,138,0.48,490,Karang Dapo,Sedang
D00047,30.6,87,111,0.32,1889,Rawas Ilir,Sedang
D00048,25.6,85,129,0.76,80,Ulu Rawas,Rendah
D00049,31.0,86,201,0.29,1774,Rawas Ilir,Sedang
D00050,28.8,85,99,0.52,583,Rawas Ulu,Sedang
D00051,30.2,89,186,0.34,1840,Rawas Ilir,Sedang
D00052,27.8,90,504,0.55,494,Rupit,Rendah
D00053,28.5,79,30,0.56,476,Rupit,Sedang
D00054,29.1,86,534,0.54,714,Rawas Ulu,Sedang
D00055,26.8,89,279,0.68,219,Karang Jaya,Rendah
D00056,25.6,90,345,0.75,188,Karang Jaya,Rendah
D00057,25.1,76,0,0.81,125,Ulu Rawas,Rendah
D00058,28.4,87,669,0.56,491,Karang Dapo,Sedang
D00059,28.7,84,165,0.48,453,Karang Dapo,Sedang
D00060,27.4,87,681,0.56,500,Karang Dapo,Rendah
D00061,33.1,60,3,0.58,559,Rupit,Tinggi
D00062,29.6,84,351,0.61,521,Rupit,Sedang
D00063,31.3,82,63,0.36,1514,Nibung,Sedang
D00064,29.0,88,576,0.51,650,Rawas Ulu,Sedang
D00065,31.5,88,657,0.33,1828,Rawas Ilir,Sedang
D00066,27.1,85,36,0.74,235,Karang Jaya,Rendah
D00067,29.1,87,120,0.55,487,Karang Dapo,Sedang
D00068,24.9,85,252,0.73,58,Ulu Rawas,Rendah
D00069,28.2,82,105,0.69,215,Karang Jaya,Sedang
D00070,26.6,90,576,0.7,158,Karang Jaya,Rendah
D00071,28.6,85,111,0.64,492,Rupit,Sedang
D00072,25.1,88,324,0.76,98,Karang Jaya,Rendah
D00073,26.5,89,591,0.75,132,Karang Jaya,Rendah
D00074,24.2,91,1035,0.73,46,Ulu Rawas,Rendah
D00075,26.3,89,159,0.73,114,Karang Jaya,Rendah
D00076,29.6,87,378,0.56,490,Karang Dapo,Sedang
D00077,30.0,92,288,0.35,1873,Rawas Ilir,Sedang
D00078,28.2,86,204,0.69,209,Karang Jaya,Sedang
D00079,28.8,90,549,0.64,459,Rupit,Sedang
